Image, Manual label, Manual area, OrganoID label, OrganoID area
PDAC1.png, 3, 3013.471600, 7, 2752.624400
PDAC1.png, 4, 4557.961600, 4, 6706.518800
PDAC1.png, 5, 7420.416400, 16, 7049.738800
PDAC1.png, 6, 2635.929600, 22, 2587.878800
PDAC1.png, 7, 3088.980000, 33, 2532.963600
PDAC1.png, 8, 3507.708400, 39, 3404.742400
PDAC1.png, 9, 2800.675200, 40, 2416.268800
PDAC1.png, 10, 3480.250800, 46, 3034.064800
PDAC1.png, 11, 12452.021600, 55, 11339.988800
PDAC1.png, 12, 7688.128000, 58, 7228.213200
PDAC1.png, 13, 6548.637600, 82, 4008.809600
PDAC1.png, 14, 5656.265600, 81, 5560.164000
PDAC1.png, 15, 8051.941200, 88, 7489.060400
PDAC1.png, 16, 4647.198800, 102, 4201.012800
PDAC1.png, 17, 2450.590800, 110, 1935.760800
PDAC1.png, 18, 15609.645600, 111, 13138.461600
PDAC1.png, 19, 7180.162400, 118, 5642.536800
PDAC1.png, 20, 5168.893200, 149, 5203.215200
PDAC1.png, 21, 12637.360400, 154, 5869.062000
PDAC1.png, 22, 3034.064800, 158, 2649.658400
PDAC1.png, 23, 5072.791600, 168, 4461.860000
PDAC1.png, 45, 3150.759600, 45, 3082.115600
PDAC1.png, 48, 1812.201600, 51, 1853.388000
PDAC1.png, 52, 1736.693200, 61, 2045.591200
PDAC1.png, 89, 2127.964000, 116, 2429.997600
PDAC1.png, 92, 2800.675200, 119, 2986.014000
PDAC1.png, 93, 1942.625200, 120, 2402.540000
PDAC1.png, 100, 1640.591600, 80, 1455.252800
PDAC1.png, 108, 1812.201600, 162, 5656.265600
PDAC1.png, 116, 1832.794800, 161, 3988.216400
PDAC2.png, 1, 8951.177600, 3, 10578.040400
PDAC2.png, 2, 19879.302400, 7, 17517.948800
PDAC2.png, 3, 14483.884000, 8, 11971.513600
PDAC2.png, 4, 7351.772400, 10, 6589.824000
PDAC2.png, 5, 15657.696400, 13, 14868.290400
PDAC2.png, 6, 10818.294400, 14, 10166.176400
PDAC2.png, 7, 22110.232400, 15, 20160.742800
PDAC2.png, 8, 8347.110400, 16, 1825.930400
PDAC2.png, 9, 5848.468800, 21, 5347.367600
PDAC2.png, 10, 6026.943200, 22, 4969.825600
PDAC2.png, 11, 36024.371200, 23, 35159.456800
PDAC2.png, 12, 10983.040000, 24, 9486.600800
PDAC2.png, 13, 11154.650000, 27, 9479.736400
PDAC2.png, 14, 6905.586400, 32, 6974.230400
PDAC2.png, 15, 3391.013600, 31, 3274.318800
PDAC2.png, 16, 14573.121200, 34, 8278.466400
PDAC2.png, 17, 51757.576000, 35, 46417.072800
PDAC2.png, 18, 8662.872800, 36, 7736.178800
PDAC2.png, 19, 27979.294400, 38, 25817.008400
PDAC2.png, 20, 11051.684000, 39, 9356.177200
PDAC2.png, 21, 21808.198800, 40, 19371.336800
PDAC2.png, 22, 4887.452800, 41, 4297.114400
PDAC2.png, 31, 2848.726000, 2, 5745.502800
PDAC2.png, 32, 12314.733600, 4, 13289.478400
PDAC2.png, 33, 2635.929600, 6, 3260.590000
PDAC2.png, 34, 1462.117200, 1, 2127.964000
PDAC2.png, 35, 3233.132400, 9, 4866.859600
PDAC2.png, 36, 2560.421200, 12, 2965.420800
PDAC2.png, 37, 2251.523200, 18, 2965.420800
PDAC2.png, 38, 2066.184400, 20, 2615.336400
PDAC2.png, 43, 5134.571200, 33, 6486.858000
PDAC2.png, 44, 2031.862400, 37, 2869.319200
PDAC2.png, 45, 3329.234000, 42, 5669.994400
PDAC3.png, 1, 13104.139600, 5, 8683.466000
PDAC3.png, 2, 7207.620000, 11, 6733.976400
PDAC3.png, 3, 6040.672000, 13, 5718.045200
PDAC3.png, 4, 3130.166400, 12, 4029.402800
PDAC3.png, 5, 4674.656400, 17, 3658.725200
PDAC3.png, 6, 4358.894000, 18, 3631.267600
PDAC3.png, 7, 3088.980000, 19, 2629.065200
PDAC3.png, 9, 3761.691200, 20, 2965.420800
PDAC4.png, 1, 7454.738400, 1, 6335.841200
PDAC4.png, 2, 14305.409600, 2, 12568.716400
PDAC4.png, 3, 10550.582800, 4, 6850.671200
PDAC4.png, 4, 19014.388000, 5, 16714.814000
PDAC4.png, 5, 5182.622000, 6, 3521.437200
PDAC4.png, 6, 72192.894800, 7, 55780.114400
PDAC4.png, 7, 8003.890400, 8, 5498.384400
PDAC4.png, 8, 7351.772400, 9, 7502.789200
PDAC4.png, 9, 16282.356800, 10, 10715.328400
PDAC4.png, 10, 39669.367600, 11, 37898.352400
PDAC4.png, 11, 9685.668400, 13, 9012.957200
PDAC4.png, 12, 26283.787600, 14, 24135.230400
PDAC4.png, 13, 11113.463600, 15, 9067.872400
PDAC4.png, 14, 14737.866800, 16, 14696.680400
PDAC4.png, 15, 13660.156000, 17, 11353.717600
PDAC4.png, 16, 11442.954800, 18, 8848.211600
PDAC4.png, 17, 14854.561600, 20, 13447.359600
PDAC4.png, 18, 14154.392800, 22, 12383.377600
PDAC4.png, 19, 7221.348800, 21, 7797.958400
PDAC4.png, 22, 3212.539200, 3, 2807.539600
PDAC5.png, 1, 5065.927200, 2, 3885.250400
PDAC5.png, 2, 6377.027600, 7, 5594.486000
PDAC5.png, 3, 1825.930400, 9, 1372.880000
PDAC5.png, 4, 10022.024000, 12, 5546.435200
PDAC5.png, 5, 2217.201200, 19, 1983.811600
PDAC5.png, 6, 2608.472000, 21, 1571.947600
