Image name, Organoid label, area, perimeter
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 10, 524, 83.84062043356595
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 11, 837, 105.74011537017762
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 12, 1244, 133.29646455628165
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 13, 443, 77.25483399593904
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 15, 329, 66.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 17, 245, 58.52691193458118
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 18, 292, 64.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 20, 163, 45.45584412271571
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 21, 120, 38.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 26, 156, 43.798989873223334
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 29, 400, 76.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 31, 241, 58.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_8, 33, 231, 58.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 1, 1817, 163.0243866176395
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 2, 521, 84.08326112068522
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 3, 1536, 148.95331880577402
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 4, 1087, 123.29646455628165
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 5, 847, 107.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 6, 329, 66.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 7, 996, 115.7401153701776
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 8, 851, 108.8111831820431
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 9, 565, 87.25483399593904
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 10, 763, 101.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 11, 1005, 121.88225099390857
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 13, 283, 59.798989873223334
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 14, 321, 68.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 16, 337, 70.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 18, 191, 50.8700576850888
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 19, 142, 42.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 23, 678, 97.74011537017762
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 26, 309, 70.08326112068524
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 29, 206, 52.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 31, 360, 69.59797974644667
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_9, 32, 301, 69.94112549695429
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 1, 2067, 172.8528137423857
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 2, 601, 90.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 3, 1393, 144.8528137423857
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 4, 914, 125.12489168102785
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 5, 1214, 131.1959594928933
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 6, 839, 109.39696961966999
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 7, 338, 66.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 8, 1089, 121.63961030678928
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 9, 889, 110.5685424949238
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 10, 569, 88.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 11, 936, 113.98275605729688
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 12, 1093, 128.53910524340094
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 14, 274, 60.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 15, 208, 52.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 16, 372, 72.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 18, 229, 54.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 19, 155, 43.798989873223334
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 26, 499, 85.84062043356595
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 30, 191, 50.87005768508881
